GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P          RSQ      RSQ_ADJ
8925        15   63900817   64126148      1       1  192      0.56598       0.2857    0.0059965   0.00076487
145957      15   76234314   76304785      1       1  192     -0.89829      0.81548   0.00028732            0
5346        15   90207598   90222648      1       1  192     -0.98649      0.83805   0.00022041            0
28232       15   92396938   92715665      2       2  192       0.6018      0.27365      0.01362    0.0031817
23524       16    2802330    2821413      1       1  192      0.70917      0.23911    0.0072864    0.0020616
79091       16    8715497    8740079      1       1  192     0.010475      0.49582    0.0024449            0
23274       16   11038345   11276046      1       1  192      -1.2261      0.88992   0.00010108            0
368         16   16243422   16318083      2       1  192      -1.3005      0.90328   7.7919e-05            0
81533       16   47188302   47495018      1       1  192       0.5645      0.28621     0.005984   0.00075234
4313        16   55513081   55540586      1       1  192      0.67087      0.25115    0.0069251    0.0016985
8824        16   66968347   66978999      1       1  192     -0.24205      0.59563    0.0014851            0
8717        16   67188088   67193812      1       1  192      0.68438      0.24687    0.0070512    0.0018252
1012        16   82660399   83830215      1       1  192    -0.094297      0.53756    0.0020037            0
4157        16   89984287   89987385      1       1  192      0.60489      0.27263    0.0063307    0.0011009
23125       17    4871287    4890960      1       1  192    -0.045856      0.51829    0.0021997            0
23746       17    6327057    6338576      1       1  192      0.30568      0.37992    0.0040601            0
2256        17    7341784    7348256      1       1  192       1.4626      0.07179      0.01696     0.011787
64518       17   15207129   15244958      1       1  192      0.63611      0.26235    0.0066076    0.0013792
224         17   19552064   19580908      2       2  192       1.5561     0.059845     0.029359     0.019088
7126        17   26662548   26674035      1       1  192      -1.8716      0.96937   7.7827e-06            0
342618      17   33874728   33886783      1       1  192       -3.105      0.99905   7.5051e-09            0
3860        17   39657233   39661865      1       1  192       0.9221      0.17824    0.0095177    0.0043047
10014       17   42154121   42201014      1       1  192     -0.20616      0.58167    0.0016005            0
78995       17   42219274   42239844      1       1  192      0.27359       0.3922    0.0038559            0
3211        17   46606807   46608272      1       1  192     -0.12734      0.55066    0.0018776            0
8714        17   48712205   48769063      2       2  192      0.82093      0.20584     0.016587    0.0061808
10238       17   61627796   61671641      1       1  192       2.2598     0.011916     0.032818     0.027727
54549       17   71330523   71640227      1       1  192        2.293     0.010924     0.033604     0.028518
147138      17   76125505   76139049      1       1  192      -2.4177      0.99219   5.0567e-07            0
494514      18     649620     658340      1       1  192     -0.39859       0.6549    0.0010537            0
7298        18     657590     673499      1       1  192     -0.39859       0.6549    0.0010537            0
9663        18    2916992    3013313      1       1  192       1.1192      0.13154      0.01193    0.0067292
83539       18   24494554   24765302      2       2  192     -0.54624      0.70755    0.0036541            0
252884      18   32946661   32957301      1       1  192     -0.24136      0.59536    0.0014873            0
89778       18   61370194   61391123      1       1  192      -1.7921      0.96344   1.1085e-05            0
4772        18   77155772   77289323      1       1  192     -0.67975      0.75167   0.00052827            0
682         19     571277     583493      1       1  192     -0.12957      0.55155    0.0018692            0
257062      19    5720688    5778742      1       1  192     -0.63558      0.73748   0.00059274            0
50509       19   10070237   10121147      1       1  192       1.0177      0.15441     0.010646    0.0054386
126402      19   15121539   15134083      1       1  192     -0.10927       0.5435    0.0019458            0
11283       19   15726029   15740448      1       1  192      0.82948      0.20342    0.0085002    0.0032818
4051        19   15751701   15771570      1       1  192      -1.1222      0.86912   0.00014327            0
57834       19   16023180   16045676      1       1  192       1.3319     0.091447      0.01492    0.0097356
79939       19   16660648   16683193      1       1  192      -0.3494       0.6366    0.0011772            0
5864        19   18307609   18314874      1       1  192      0.24459      0.40339    0.0036776            0
80726       19   18367906   18385319      1       1  192      0.99694       0.1594     0.010394    0.0051853
51291       19   19740285   19754457      1       1  192      -1.5999      0.94519   2.4939e-05            0
85415       19   33469498   33555824      1       1  192      0.53703      0.29562    0.0057556   0.00052273
64377       19   34112861   34264414      1       1  192    -0.074448      0.52967    0.0020824            0
148103      19   35248979   35264134      1       1  192       1.3591     0.087057     0.015332      0.01015
84924       19   36936021   36980804      1       1  192       1.4062     0.079828     0.016062     0.010883
55588       19   39881893   39891203      1       1  192     -0.66286      0.74629   0.00055222            0
284323      19   40575059   40596845      1       1  192       1.7282     0.041973     0.021591     0.016441
7638        19   44455375   44471752      1       1  192       1.8568     0.031673     0.024065     0.018928
4059        19   45312316   45324678      1       1  192     -0.58822      0.72181   0.00066873            0
6820        19   49055429   49102684      2       2  192       0.3223      0.37361     0.010364            0
126205      19   56459198   56499995      1       1  192     -0.25465       0.6005    0.0014461            0
9770        20    4760669    4804291      1       1  192      0.59952      0.27441    0.0062839    0.0010538
23236       20    8112912    8865547      1       1  192       1.0532      0.14612     0.011084    0.0058796
24141       20    9495005    9511171      1       1  192      -2.6054      0.99541   1.7451e-07            0
140733      20   13976146   16033842      1       1  192      0.35081      0.36286    0.0043596            0
55857       20   21106624   21227260      2       2  192     -0.12113      0.54821    0.0063407            0
10544       20   33759740   33803771      1       1  192     -0.44573       0.6721   0.00094494            0
8904        20   34213953   34252878      1       1  192     -0.93814      0.82591   0.00025525            0
64849       20   45186462   45313124      1       1  192      0.69688      0.24294    0.0071692    0.0019437
8202        20   46130601   46285621      1       1  192       1.4047     0.080051     0.016038     0.010859
128553      20   51588946   52111869      1       1  192     -0.85989      0.80507   0.00032134            0
757         21   34804793   34852316      1       1  192      -1.2183      0.88844   0.00010384            0
7267        21   38445554   38575408      1       1  192      0.11826      0.45293    0.0029682            0
9619        21   43619799   43724497      3       3  192     -0.78071      0.78251    0.0056998            0
80781       21   46825058   46933634      1       1  192      0.32138      0.37396    0.0041626            0
5116        21   47743976   47865682      1       1  192     -0.48546      0.68633   0.00086027            0
23523       22   24407642   24574596      1       1  192      0.43445      0.33198    0.0049542            0
114904      22   37576206   37594341      1       1  192      0.41702      0.33833     0.004826            0
5880        22   37621301   37640339      2       2  192       3.2054   0.00067431     0.074358     0.064563
2033        22   41488614   41576081      1       1  192       1.0769      0.14076     0.011384    0.0061805
150356      22   41605861   41636935      1       1  192       1.7467     0.040348     0.021936     0.016788
7008        22   41763337   41795332      1       1  192       1.0053      0.15737     0.010495    0.0052873
50          22   41865099   41924993      1       1  192         1.69     0.045513     0.020884     0.015731
5372        22   41972890   41985871      1       1  192       0.7339      0.23151     0.007526    0.0023025
150365      22   42095518   42195459      2       2  192       1.6247      0.05211      0.03078     0.020524
79879       22   42196636   42228175      1       1  192       1.4368     0.075382     0.016546      0.01137
6721        22   42229083   42303312      7       4  192       2.2361     0.012671     0.065476     0.045486
440829      22   42305558   42310671      1       1  192        2.869    0.0020591     0.048876      0.04387
79019       22   42334531   42343155      1       1  192       2.5178    0.0059044     0.039206     0.034149
55964       22   42372855   42394225      4       2  192       3.1668   0.00077054     0.073051     0.063242
164684      22   42391607   42428935      7       2  192       3.1975   0.00069317     0.074088      0.06429
4668        22   42454338   42466852      3       2  192       3.1177   0.00091125     0.071404     0.061577
4700        22   42481530   42486888      2       1  192       3.3911   0.00034808     0.065276     0.060356
6942        22   42556019   42664768     25       5  192       3.5964   0.00016134       0.1233      0.09973
23313       22   45588123   45636650      1       1  192     -0.29184       0.6148    0.0013355            0
5465        22   46546458   46639653      3       3  192     -0.04167      0.51662     0.012016            0
