# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
79939       19   16660648   16683193      1       1  192     -0.30127    5.5511e-17     -0.30127
5864        19   18307609   18314874      1       1  192      0.16242    2.7756e-17      0.16242
80726       19   18367906   18385319      1       1  192        1.065             0        1.065
51291       19   19740285   19754457      1       1  192      -1.5697             0      -1.5697
85415       19   33469498   33555824      1       1  192      0.50719             0      0.50719
64377       19   34112861   34264414      1       1  192    -0.012541     2.949e-17    -0.012541
148103      19   35248979   35264134      1       1  192       1.2157             0       1.2157
84924       19   36936021   36980804      1       1  192       1.4592             0       1.4592
55588       19   39881893   39891203      1       1  192     -0.72538             0     -0.72538
284323      19   40575059   40596845      1       1  192       1.4623             0       1.4623
7638        19   44455375   44471752      1       1  192       1.8471             0       1.8471
4059        19   45312316   45324678      1       1  192     -0.70343             0     -0.70343
6820        19   49055429   49102684      2       2  192     0.031588    2.7756e-17     0.031588
126205      19   56459198   56499995      1       1  192     -0.25408    5.5511e-17     -0.25408
9770        20    4760669    4804291      1       1  192      0.62095             0      0.62095
23236       20    8112912    8865547      1       1  192       1.0886             0       1.0886
24141       20    9495005    9511171      1       1  192      -2.6187             0      -2.6187
140733      20   13976146   16033842      1       1  192      0.30059    5.5511e-17      0.30059
55857       20   21106624   21227260      2       2  192     -0.33288    5.5511e-17     -0.33288
10544       20   33759740   33803771      1       1  192     -0.39218    5.5511e-17     -0.39218
8904        20   34213953   34252878      1       1  192      -0.9943             0      -0.9943
64849       20   45186462   45313124      1       1  192      0.74624             0      0.74624
8202        20   46130601   46285621      1       1  192       1.3377             0       1.3377
128553      20   51588946   52111869      1       1  192     -0.81821             0     -0.81821
757         21   34804793   34852316      1       1  192      -1.1458             0      -1.1458
7267        21   38445554   38575408      1       1  192       0.1902    2.7756e-17       0.1902
9619        21   43619799   43724497      3       3  192     -0.85025             0     -0.85025
80781       21   46825058   46933634      1       1  192      0.28686    5.5511e-17      0.28686
5116        21   47743976   47865682      1       1  192      -0.4194    5.5511e-17      -0.4194
23523       22   24407642   24574596      1       1  192       0.2727    5.5511e-17       0.2727
114904      22   37576206   37594341      1       1  192      0.41542    5.5511e-17      0.41542
5880        22   37621301   37640339      2       2  192       2.9689             0       2.9689
2033        22   41488614   41576081      1       1  192      0.99745             0      0.99745
150356      22   41605861   41636935      1       1  192       1.7792             0       1.7792
7008        22   41763337   41795332      1       1  192      0.91749             0      0.91749
50          22   41865099   41924993      1       1  192       1.6398             0       1.6398
5372        22   41972890   41985871      1       1  192      0.80392             0      0.80392
150365      22   42095518   42195459      2       2  192       1.2109             0       1.2109
79879       22   42196636   42228175      1       1  192       1.4892             0       1.4892
6721        22   42229083   42303312      7       4  192       2.1646             0       2.1646
440829      22   42305558   42310671      1       1  192        2.939             0        2.939
79019       22   42334531   42343155      1       1  192       2.5525             0       2.5525
55964       22   42372855   42394225      4       2  192       2.8771             0       2.8771
164684      22   42391607   42428935      7       2  192        2.605             0        2.605
4668        22   42454338   42466852      3       2  192       2.8802             0       2.8802
4700        22   42481530   42486888      2       1  192       3.5424             0       3.5424
6942        22   42556019   42664768     25       5  192       3.4528             0       3.4528
23313       22   45588123   45636650      1       1  192     -0.32635    5.5511e-17     -0.32635
5465        22   46546458   46639653      3       3  192     -0.28213    5.5511e-17     -0.28213
